"Code Fap";"Libellé de la famille professionnelle";"Année";"Salaire médian (en €)"
"L4Z";"Techniciens des services administratifs, comptables et financiers";"2003-2005";"1662"
"L4Z";"Techniciens des services administratifs, comptables et financiers";"2017-2019";"1928"
"L4Z80";"Techniciens des services administratifs";"2003-2005";"1623"
"L4Z80";"Techniciens des services administratifs";"2017-2019";"1850"
"L4Z81";"Techniciens des services comptables et financiers";"2017-2019";"2050"
"L4Z81";"Techniciens des services comptables et financiers";"2003-2005";"1714"
"L5Z";"Cadres des services administratifs, comptables et financiers";"2017-2019";"3200"
"L5Z";"Cadres des services administratifs, comptables et financiers";"2003-2005";"2659"
"L5Z90";"Cadres administratifs, comptables et financiers (hors juristes)";"2017-2019";"3218"
"L5Z90";"Cadres administratifs, comptables et financiers (hors juristes)";"2003-2005";"2662"
"L5Z91";"Juristes";"2017-2019";"3531"
"L5Z91";"Juristes";"2003-2005";"2812"
"L5Z92";"Cadres des ressources humaines et du recrutement";"2017-2019";"3000"
"L5Z92";"Cadres des ressources humaines et du recrutement";"2003-2005";"2525"
"M";"Informatique et télécommunications";"2017-2019";"2700"
"M";"Informatique et télécommunications";"2003-2005";"2200"
"M0Z";"Employés et opérateurs de l'informatique";"2003-2005";"1220"
"M0Z";"Employés et opérateurs de l'informatique";"2017-2019";"1594"
"M0Z60";"Employés et opérateurs en informatique";"2003-2005";"1220"
"M0Z60";"Employés et opérateurs en informatique";"2017-2019";"1594"
"M1Z";"Techniciens de l'informatique";"2017-2019";"1913"
"M1Z";"Techniciens de l'informatique";"2003-2005";"1700"
"M1Z80";"Techniciens d'étude et de développement en informatique";"2017-2019";"1950"
"M1Z80";"Techniciens d'étude et de développement en informatique";"2003-2005";"1728"
"M1Z81";"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique";"2017-2019";"1891"
"M1Z81";"Techniciens de production, d'exploitation, d'installation, et de maintenance, support et services aux utilisateurs en informatique";"2003-2005";"1683"
"M2Z";"Ingénieurs de l'informatique";"2017-2019";"3120"
"M2Z";"Ingénieurs de l'informatique";"2003-2005";"2631"
"M2Z90";"Ingénieurs et cadres d'étude, recherche et développement en informatique, chefs de projets informatiques";"2017-2019";"3100"
"M2Z90";"Ingénieurs et cadres d'étude, recherche et développement en informatique, chefs de projets informatiques";"2003-2005";"2590"
"M2Z92";"Ingénieurs et cadres des télécommunications";"2003-2005";"3133"
"M2Z92";"Ingénieurs et cadres des télécommunications";"2017-2019";"3492"
"N";"Études et recherche";"2017-2019";"3100"
